Country,Crop_Group,Year,Production,Area,Yield,Yield_kg/ha,Avg_Temp,Total_Rain,Population,Population_Unit,Temp_norm,Rain_norm,Rain_risk,Risk_Score,Risk_Level,Production_kg,Production_per_capita
Thailand,SugarCrop,2012,98400465.0,1282082.0,76.75052375745076,76750.52375745076,26.56833333333333,43.196666666666665,69436098.0,people,0.9330197161808207,0.28035218302978404,0.719647816970216,0.8263337665755184,High,98400465000.0,1417.1370199978692
Thailand,SugarCrop,2013,100095580.0,1321595.0,75.73846753354847,75738.46753354848,26.407777777777778,47.78,69845114.0,people,0.9279983667583194,0.3105424365181306,0.6894575634818694,0.8087279651200944,High,100095580000.0,1433.107833426974
Thailand,SugarCrop,2014,103697005.0,1353025.0,76.64086398994844,76640.86398994844,26.520555555555557,37.233333333333334,70216367.0,people,0.931525473792118,0.24107191867294625,0.7589280813270538,0.8452267775595859,High,103697005000.0,1476.8209953101104
Thailand,SugarCrop,2015,94138465.0,1400748.0,67.20585358679791,67205.85358679791,27.078333333333333,37.943333333333335,70540795.0,people,0.9489698849346487,0.24574866339514104,0.754251336604859,0.8516106107697539,High,94138465000.0,1334.52514959606
Thailand,SugarCrop,2016,94138465.0,1433120.0,65.68777562241821,65687.77562241821,26.89638888888889,45.693333333333335,70859841.0,people,0.9432796014195304,0.29679763747543614,0.7032023625245638,0.8232409819720471,High,94138465000.0,1328.5164582855894
Thailand,SugarCrop,2017,93088464.0,1403520.0,66.325,66325.0,26.000555555555554,57.870000000000005,71160187.0,people,0.9152625566313521,0.37700490728847613,0.6229950927115239,0.7691288246714381,High,93088464000.0,1308.1537292756132
Thailand,SugarCrop,2018,135073799.0,1790208.0,75.45145536161161,75451.4553616116,26.02611111111111,46.13333333333333,71376079.0,people,0.9160618025601932,0.2996959018103174,0.7003040981896826,0.8081829503749379,High,135073799000.0,1892.4239169820466
Thailand,SugarCrop,2019,131002173.0,1835085.0,71.38752319374852,71387.52319374852,27.19361111111111,37.236666666666665,71522271.0,people,0.9525751790701816,0.24109387522093775,0.7589061247790623,0.855740651924622,High,131002173000.0,1831.6277037679633
Thailand,SugarCrop,2020,74968070.0,1714135.0,43.735219221356544,43735.21922135654,26.875,50.056666666666665,71641484.0,people,0.9426106673269133,0.32553875879634203,0.6744612412036579,0.8085359542652857,High,74968070000.0,1046.4337952575074
Thailand,SugarCrop,2021,66725460.0,1369600.0,48.7189398364486,48718.9398364486,25.985,55.06666666666666,71727332.0,people,0.9147760591094489,0.35853945042760377,0.6414605495723962,0.7781183043409226,High,66725460000.0,930.2654670049626
